pub,empty,email,website,address,addressJson,day,promo
Central Hotel,Column,central@winnerscircle.com.au,http://www.central-hotel.com.au/,"Cnr Flushcombe Rd and Main St,
Blacktown
2148 -","{
   'results' : [
      {
         'address_components' : [
            {
               'long_name' : 'Main St',
               'short_name' : 'Main St',
               'types' : [ 'route' ]
            },
            {
               'long_name' : 'Blacktown',
               'short_name' : 'Blacktown',
               'types' : [ 'locality', 'political' ]
            },
            {
               'long_name' : 'New South Wales',
               'short_name' : 'NSW',
               'types' : [ 'administrative_area_level_1', 'political' ]
            },
            {
               'long_name' : 'Australia',
               'short_name' : 'AU',
               'types' : [ 'country', 'political' ]
            },
            {
               'long_name' : '2148',
               'short_name' : '2148',
               'types' : [ 'postal_code' ]
            }
         ],
         'formatted_address' : 'Main St & Flushcombe Rd, Blacktown NSW 2148, Australia',
         'geometry' : {
            'location' : {
               'lat' : -33.76945590,
               'lng' : 150.9086030
            },
            'location_type' : 'APPROXIMATE',
            'viewport' : {
               'northeast' : {
                  'lat' : -33.76810691970850,
                  'lng' : 150.9099519802915
               },
               'southwest' : {
                  'lat' : -33.77080488029150,
                  'lng' : 150.9072540197085
               }
            }
         },
         'types' : [ 'intersection' ]
      }
   ],
   'status' : 'OK'
}
",Monday,"4 - 6pm
$3 house beers
$3.50 house spirits
$7 cocktails."
Central Hotel,,central@winnerscircle.com.au,http://www.central-hotel.com.au/,"Cnr Flushcombe Rd and Main St,
Blacktown
2148 -","{
   'results' : [
      {
         'address_components' : [
            {
               'long_name' : 'Main St',
               'short_name' : 'Main St',
               'types' : [ 'route' ]
            },
            {
               'long_name' : 'Blacktown',
               'short_name' : 'Blacktown',
               'types' : [ 'locality', 'political' ]
            },
            {
               'long_name' : 'New South Wales',
               'short_name' : 'NSW',
               'types' : [ 'administrative_area_level_1', 'political' ]
            },
            {
               'long_name' : 'Australia',
               'short_name' : 'AU',
               'types' : [ 'country', 'political' ]
            },
            {
               'long_name' : '2148',
               'short_name' : '2148',
               'types' : [ 'postal_code' ]
            }
         ],
         'formatted_address' : 'Main St & Flushcombe Rd, Blacktown NSW 2148, Australia',
         'geometry' : {
            'location' : {
               'lat' : -33.76945590,
               'lng' : 150.9086030
            },
            'location_type' : 'APPROXIMATE',
            'viewport' : {
               'northeast' : {
                  'lat' : -33.76810691970850,
                  'lng' : 150.9099519802915
               },
               'southwest' : {
                  'lat' : -33.77080488029150,
                  'lng' : 150.9072540197085
               }
            }
         },
         'types' : [ 'intersection' ]
      }
   ],
   'status' : 'OK'
}
",Tuesday,"[4 - 6pm]
$7 Cocktails
"
Central Hotel,,central@winnerscircle.com.au,http://www.central-hotel.com.au/,"Cnr Flushcombe Rd and Main St,
Blacktown
2148 -","{
   'results' : [
      {
         'address_components' : [
            {
               'long_name' : 'Main St',
               'short_name' : 'Main St',
               'types' : [ 'route' ]
            },
            {
               'long_name' : 'Blacktown',
               'short_name' : 'Blacktown',
               'types' : [ 'locality', 'political' ]
            },
            {
               'long_name' : 'New South Wales',
               'short_name' : 'NSW',
               'types' : [ 'administrative_area_level_1', 'political' ]
            },
            {
               'long_name' : 'Australia',
               'short_name' : 'AU',
               'types' : [ 'country', 'political' ]
            },
            {
               'long_name' : '2148',
               'short_name' : '2148',
               'types' : [ 'postal_code' ]
            }
         ],
         'formatted_address' : 'Main St & Flushcombe Rd, Blacktown NSW 2148, Australia',
         'geometry' : {
            'location' : {
               'lat' : -33.76945590,
               'lng' : 150.9086030
            },
            'location_type' : 'APPROXIMATE',
            'viewport' : {
               'northeast' : {
                  'lat' : -33.76810691970850,
                  'lng' : 150.9099519802915
               },
               'southwest' : {
                  'lat' : -33.77080488029150,
                  'lng' : 150.9072540197085
               }
            }
         },
         'types' : [ 'intersection' ]
      }
   ],
   'status' : 'OK'
}
",Friday,"[4 - 6 pm]
$3 House Beer,
$3.50 House Spirits,
$7 Cocktails
"
Wallacia Hotel,,reservations@wallaciahotel.com.au,http://www.wallaciahotel.com.au/,"1590 Mulgoa Road, Wallacia
2745 -","{
   'results' : [
      {
         'address_components' : [
            {
               'long_name' : '1590',
               'short_name' : '1590',
               'types' : [ 'street_number' ]
            },
            {
               'long_name' : 'Mulgoa Rd',
               'short_name' : 'Mulgoa Rd',
               'types' : [ 'route' ]
            },
            {
               'long_name' : 'Wallacia',
               'short_name' : 'Wallacia',
               'types' : [ 'locality', 'political' ]
            },
            {
               'long_name' : 'New South Wales',
               'short_name' : 'NSW',
               'types' : [ 'administrative_area_level_1', 'political' ]
            },
            {
               'long_name' : 'Australia',
               'short_name' : 'AU',
               'types' : [ 'country', 'political' ]
            },
            {
               'long_name' : '2745',
               'short_name' : '2745',
               'types' : [ 'postal_code' ]
            }
         ],
         'formatted_address' : '1590 Mulgoa Rd, Wallacia NSW 2745, Australia',
         'geometry' : {
            'location' : {
               'lat' : -33.8647850,
               'lng' : 150.6411190
            },
            'location_type' : 'ROOFTOP',
            'viewport' : {
               'northeast' : {
                  'lat' : -33.86343601970851,
                  'lng' : 150.6424679802915
               },
               'southwest' : {
                  'lat' : -33.86613398029151,
                  'lng' : 150.6397700197085
               }
            }
         },
         'types' : [ 'street_address' ]
      }
   ],
   'status' : 'OK'
}
",Monday,"[4pm-6pm]
$3 Schooners of Domestic tap beer"
Wallacia Hotel,,reservations@wallaciahotel.com.au,http://www.wallaciahotel.com.au/,"1590 Mulgoa Road, Wallacia
2745 -","{
   'results' : [
      {
         'address_components' : [
            {
               'long_name' : '1590',
               'short_name' : '1590',
               'types' : [ 'street_number' ]
            },
            {
               'long_name' : 'Mulgoa Rd',
               'short_name' : 'Mulgoa Rd',
               'types' : [ 'route' ]
            },
            {
               'long_name' : 'Wallacia',
               'short_name' : 'Wallacia',
               'types' : [ 'locality', 'political' ]
            },
            {
               'long_name' : 'New South Wales',
               'short_name' : 'NSW',
               'types' : [ 'administrative_area_level_1', 'political' ]
            },
            {
               'long_name' : 'Australia',
               'short_name' : 'AU',
               'types' : [ 'country', 'political' ]
            },
            {
               'long_name' : '2745',
               'short_name' : '2745',
               'types' : [ 'postal_code' ]
            }
         ],
         'formatted_address' : '1590 Mulgoa Rd, Wallacia NSW 2745, Australia',
         'geometry' : {
            'location' : {
               'lat' : -33.8647850,
               'lng' : 150.6411190
            },
            'location_type' : 'ROOFTOP',
            'viewport' : {
               'northeast' : {
                  'lat' : -33.86343601970851,
                  'lng' : 150.6424679802915
               },
               'southwest' : {
                  'lat' : -33.86613398029151,
                  'lng' : 150.6397700197085
               }
            }
         },
         'types' : [ 'street_address' ]
      }
   ],
   'status' : 'OK'
}
",Wednesday,"[4pm-6pm]
$3 Schooners of Domestic tap beer"
Tollgate Hotel,,,http://www.tollgatehotel.com.au/,"625 Church St North Parramatta, NSW
2151 -","{
   'results' : [
      {
         'address_components' : [
            {
               'long_name' : '625',
               'short_name' : '625',
               'types' : [ 'street_number' ]
            },
            {
               'long_name' : 'Church St',
               'short_name' : 'Church St',
               'types' : [ 'route' ]
            },
            {
               'long_name' : 'North Parramatta',
               'short_name' : 'North Parramatta',
               'types' : [ 'locality', 'political' ]
            },
            {
               'long_name' : 'New South Wales',
               'short_name' : 'NSW',
               'types' : [ 'administrative_area_level_1', 'political' ]
            },
            {
               'long_name' : 'Australia',
               'short_name' : 'AU',
               'types' : [ 'country', 'political' ]
            },
            {
               'long_name' : '2151',
               'short_name' : '2151',
               'types' : [ 'postal_code' ]
            }
         ],
         'formatted_address' : '625 Church St, North Parramatta NSW 2151, Australia',
         'geometry' : {
            'location' : {
               'lat' : -33.79461970,
               'lng' : 151.0004780
            },
            'location_type' : 'ROOFTOP',
            'viewport' : {
               'northeast' : {
                  'lat' : -33.79327071970850,
                  'lng' : 151.0018269802915
               },
               'southwest' : {
                  'lat' : -33.79596868029149,
                  'lng' : 150.9991290197085
               }
            }
         },
         'types' : [ 'street_address' ]
      }
   ],
   'status' : 'OK'
}
",Sunday,"[all day]
$3 Schooners local tap beer"
Woolpack Hotel,,woolpackhotel@live.com.au,http://www.woolpackhotel.com.au/,"19 George Street, Parramatta
2150 -","{
   'results' : [
      {
         'address_components' : [
            {
               'long_name' : '19',
               'short_name' : '19',
               'types' : [ 'street_number' ]
            },
            {
               'long_name' : 'George St',
               'short_name' : 'George St',
               'types' : [ 'route' ]
            },
            {
               'long_name' : 'Parramatta',
               'short_name' : 'Parramatta',
               'types' : [ 'locality', 'political' ]
            },
            {
               'long_name' : 'New South Wales',
               'short_name' : 'NSW',
               'types' : [ 'administrative_area_level_1', 'political' ]
            },
            {
               'long_name' : 'Australia',
               'short_name' : 'AU',
               'types' : [ 'country', 'political' ]
            },
            {
               'long_name' : '2150',
               'short_name' : '2150',
               'types' : [ 'postal_code' ]
            }
         ],
         'formatted_address' : '19 George St, Parramatta NSW 2150, Australia',
         'geometry' : {
            'location' : {
               'lat' : -33.8136060,
               'lng' : 151.0023480
            },
            'location_type' : 'ROOFTOP',
            'viewport' : {
               'northeast' : {
                  'lat' : -33.81225701970850,
                  'lng' : 151.0036969802915
               },
               'southwest' : {
                  'lat' : -33.81495498029150,
                  'lng' : 151.0009990197085
               }
            }
         },
         'types' : [ 'street_address' ]
      }
   ],
   'status' : 'OK'
}
",Monday,"[5pm-7pm] 
Schooner Domestic Beer $3.50, 
Wine $4.20, 
Spirits $4.20"
Woolpack Hotel,,woolpackhotel@live.com.au,http://www.woolpackhotel.com.au/,"19 George Street, Parramatta
2150 -","{
   'results' : [
      {
         'address_components' : [
            {
               'long_name' : '19',
               'short_name' : '19',
               'types' : [ 'street_number' ]
            },
            {
               'long_name' : 'George St',
               'short_name' : 'George St',
               'types' : [ 'route' ]
            },
            {
               'long_name' : 'Parramatta',
               'short_name' : 'Parramatta',
               'types' : [ 'locality', 'political' ]
            },
            {
               'long_name' : 'New South Wales',
               'short_name' : 'NSW',
               'types' : [ 'administrative_area_level_1', 'political' ]
            },
            {
               'long_name' : 'Australia',
               'short_name' : 'AU',
               'types' : [ 'country', 'political' ]
            },
            {
               'long_name' : '2150',
               'short_name' : '2150',
               'types' : [ 'postal_code' ]
            }
         ],
         'formatted_address' : '19 George St, Parramatta NSW 2150, Australia',
         'geometry' : {
            'location' : {
               'lat' : -33.8136060,
               'lng' : 151.0023480
            },
            'location_type' : 'ROOFTOP',
            'viewport' : {
               'northeast' : {
                  'lat' : -33.81225701970850,
                  'lng' : 151.0036969802915
               },
               'southwest' : {
                  'lat' : -33.81495498029150,
                  'lng' : 151.0009990197085
               }
            }
         },
         'types' : [ 'street_address' ]
      }
   ],
   'status' : 'OK'
}
",Tuesday,"[5pm-7pm] 
Schooner Domestic Beer $3.50, 
Wine $4.20, 
Spirits $4.20"
Woolpack Hotel,,woolpackhotel@live.com.au,http://www.woolpackhotel.com.au/,"19 George Street, Parramatta
2150 -","{
   'results' : [
      {
         'address_components' : [
            {
               'long_name' : '19',
               'short_name' : '19',
               'types' : [ 'street_number' ]
            },
            {
               'long_name' : 'George St',
               'short_name' : 'George St',
               'types' : [ 'route' ]
            },
            {
               'long_name' : 'Parramatta',
               'short_name' : 'Parramatta',
               'types' : [ 'locality', 'political' ]
            },
            {
               'long_name' : 'New South Wales',
               'short_name' : 'NSW',
               'types' : [ 'administrative_area_level_1', 'political' ]
            },
            {
               'long_name' : 'Australia',
               'short_name' : 'AU',
               'types' : [ 'country', 'political' ]
            },
            {
               'long_name' : '2150',
               'short_name' : '2150',
               'types' : [ 'postal_code' ]
            }
         ],
         'formatted_address' : '19 George St, Parramatta NSW 2150, Australia',
         'geometry' : {
            'location' : {
               'lat' : -33.8136060,
               'lng' : 151.0023480
            },
            'location_type' : 'ROOFTOP',
            'viewport' : {
               'northeast' : {
                  'lat' : -33.81225701970850,
                  'lng' : 151.0036969802915
               },
               'southwest' : {
                  'lat' : -33.81495498029150,
                  'lng' : 151.0009990197085
               }
            }
         },
         'types' : [ 'street_address' ]
      }
   ],
   'status' : 'OK'
}
",Wednesday,"[5pm-7pm] 
Schooner Domestic Beer $3.50, 
Wine $4.20, 
Spirits $4.20"
Woolpack Hotel,,woolpackhotel@live.com.au,http://www.woolpackhotel.com.au/,"19 George Street, Parramatta
2150 -","{
   'results' : [
      {
         'address_components' : [
            {
               'long_name' : '19',
               'short_name' : '19',
               'types' : [ 'street_number' ]
            },
            {
               'long_name' : 'George St',
               'short_name' : 'George St',
               'types' : [ 'route' ]
            },
            {
               'long_name' : 'Parramatta',
               'short_name' : 'Parramatta',
               'types' : [ 'locality', 'political' ]
            },
            {
               'long_name' : 'New South Wales',
               'short_name' : 'NSW',
               'types' : [ 'administrative_area_level_1', 'political' ]
            },
            {
               'long_name' : 'Australia',
               'short_name' : 'AU',
               'types' : [ 'country', 'political' ]
            },
            {
               'long_name' : '2150',
               'short_name' : '2150',
               'types' : [ 'postal_code' ]
            }
         ],
         'formatted_address' : '19 George St, Parramatta NSW 2150, Australia',
         'geometry' : {
            'location' : {
               'lat' : -33.8136060,
               'lng' : 151.0023480
            },
            'location_type' : 'ROOFTOP',
            'viewport' : {
               'northeast' : {
                  'lat' : -33.81225701970850,
                  'lng' : 151.0036969802915
               },
               'southwest' : {
                  'lat' : -33.81495498029150,
                  'lng' : 151.0009990197085
               }
            }
         },
         'types' : [ 'street_address' ]
      }
   ],
   'status' : 'OK'
}
",Thursday,"[5pm-7pm] 
Schooner Domestic Beer $3.50, 
Wine $4.20, 
Spirits $4.20"
