date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:50:27	95/95	---M--	200	added ('OK')	text/plain	date:Fri,%2024%20Jul%202009%2006:40:11%20GMT	http://www.sydneyhappyhour.com/robots.txt		(from )
21:50:27	60016/60016	---MC-	200	added ('OK')	text/html	date:Fri,%2004%20Nov%202011%2010:44:49%20GMT	http://www.sydneyhappyhour.com/sydney-bars/	www.sydneyhappyhour.com/sydney-bars/index.html	(from )
21:50:28	47660/47660	---MC-	200	added ('OK')	text/html	date:Fri,%2004%20Nov%202011%2010:50:29%20GMT	http://www.sydneyhappyhour.com/sydney-bars/northern-beaches/	www.sydneyhappyhour.com/sydney-bars/northern-beaches/index.html	(from http://www.sydneyhappyhour.com/sydney-bars/)
21:50:29	52289/52289	---MC-	200	added ('OK')	text/html	date:Fri,%2004%20Nov%202011%2010:49:42%20GMT	http://www.sydneyhappyhour.com/sydney-bars/northern-beaches/the-steyne-hotel/	www.sydneyhappyhour.com/sydney-bars/northern-beaches/the-steyne-hotel/index.html	(from http://www.sydneyhappyhour.com/sydney-bars/)
21:50:29	51851/51851	---MC-	200	added ('OK')	text/html	date:Fri,%2004%20Nov%202011%2010:50:30%20GMT	http://www.sydneyhappyhour.com/sydney-bars/northern-beaches/4-pines/	www.sydneyhappyhour.com/sydney-bars/northern-beaches/4-pines/index.html	(from http://www.sydneyhappyhour.com/sydney-bars/northern-beaches/)
21:50:30	52407/52407	---MC-	200	added ('OK')	text/html	date:Fri,%2004%20Nov%202011%2010:50:31%20GMT	http://www.sydneyhappyhour.com/sydney-bars/northern-beaches/belrose-bowling-club/	www.sydneyhappyhour.com/sydney-bars/northern-beaches/belrose-bowling-club/index.html	(from http://www.sydneyhappyhour.com/sydney-bars/northern-beaches/)
21:50:31	53363/53363	---MC-	200	added ('OK')	text/html	date:Fri,%2004%20Nov%202011%2010:44:07%20GMT	http://www.sydneyhappyhour.com/sydney-bars/northern-beaches/harbord-beach-hotel/	www.sydneyhappyhour.com/sydney-bars/northern-beaches/harbord-beach-hotel/index.html	(from http://www.sydneyhappyhour.com/sydney-bars/northern-beaches/)
21:50:31	51730/51730	---MC-	200	added ('OK')	text/html	date:Fri,%2004%20Nov%202011%2010:50:32%20GMT	http://www.sydneyhappyhour.com/sydney-bars/northern-beaches/harbord-bowling-club/	www.sydneyhappyhour.com/sydney-bars/northern-beaches/harbord-bowling-club/index.html	(from http://www.sydneyhappyhour.com/sydney-bars/northern-beaches/)
21:50:32	52382/52382	---MC-	200	added ('OK')	text/html	date:Fri,%2004%20Nov%202011%2010:50:33%20GMT	http://www.sydneyhappyhour.com/sydney-bars/northern-beaches/harbord-diggers/	www.sydneyhappyhour.com/sydney-bars/northern-beaches/harbord-diggers/index.html	(from http://www.sydneyhappyhour.com/sydney-bars/northern-beaches/)
21:50:33	51662/51662	---MC-	200	added ('OK')	text/html	date:Fri,%2004%20Nov%202011%2010:50:34%20GMT	http://www.sydneyhappyhour.com/sydney-bars/northern-beaches/manly-skiff-club/	www.sydneyhappyhour.com/sydney-bars/northern-beaches/manly-skiff-club/index.html	(from http://www.sydneyhappyhour.com/sydney-bars/northern-beaches/)
21:50:34	51760/51760	---MC-	200	added ('OK')	text/html	date:Fri,%2004%20Nov%202011%2010:50:35%20GMT	http://www.sydneyhappyhour.com/sydney-bars/northern-beaches/manly-vale-calabria-bowling-sports-social-club/	www.sydneyhappyhour.com/sydney-bars/northern-beaches/manly-vale-calabria-bowling-sports-social-club/index.html	(from http://www.sydneyhappyhour.com/sydney-bars/northern-beaches/)
21:50:35	51937/51937	---MC-	200	added ('OK')	text/html	date:Fri,%2004%20Nov%202011%2010:50:36%20GMT	http://www.sydneyhappyhour.com/sydney-bars/northern-beaches/mona-vale-hotel/	www.sydneyhappyhour.com/sydney-bars/northern-beaches/mona-vale-hotel/index.html	(from http://www.sydneyhappyhour.com/sydney-bars/northern-beaches/)
21:50:36	51523/51523	---MC-	200	added ('OK')	text/html	date:Fri,%2004%20Nov%202011%2010:50:37%20GMT	http://www.sydneyhappyhour.com/sydney-bars/northern-beaches/newport-arms-hotel/	www.sydneyhappyhour.com/sydney-bars/northern-beaches/newport-arms-hotel/index.html	(from http://www.sydneyhappyhour.com/sydney-bars/northern-beaches/)
21:50:37	51394/51394	---MC-	200	added ('OK')	text/html	date:Fri,%2004%20Nov%202011%2010:50:38%20GMT	http://www.sydneyhappyhour.com/sydney-bars/northern-beaches/the-old-manly-boatshed/	www.sydneyhappyhour.com/sydney-bars/northern-beaches/the-old-manly-boatshed/index.html	(from http://www.sydneyhappyhour.com/sydney-bars/northern-beaches/)
21:50:38	51505/51505	---MC-	200	added ('OK')	text/html	date:Fri,%2004%20Nov%202011%2010:50:39%20GMT	http://www.sydneyhappyhour.com/sydney-bars/northern-beaches/palm-beach-rsl/	www.sydneyhappyhour.com/sydney-bars/northern-beaches/palm-beach-rsl/index.html	(from http://www.sydneyhappyhour.com/sydney-bars/northern-beaches/)
21:50:39	51647/51647	---MC-	200	added ('OK')	text/html	date:Fri,%2004%20Nov%202011%2010:50:40%20GMT	http://www.sydneyhappyhour.com/sydney-bars/northern-beaches/surf-rock-hotel/	www.sydneyhappyhour.com/sydney-bars/northern-beaches/surf-rock-hotel/index.html	(from http://www.sydneyhappyhour.com/sydney-bars/northern-beaches/)
21:50:40	53072/53072	---MC-	200	added ('OK')	text/html	date:Fri,%2004%20Nov%202011%2010:50:41%20GMT	http://www.sydneyhappyhour.com/sydney-bars/northern-beaches/the-brookvale-hotel/	www.sydneyhappyhour.com/sydney-bars/northern-beaches/the-brookvale-hotel/index.html	(from http://www.sydneyhappyhour.com/sydney-bars/northern-beaches/)
